id,toxic,severe_toxic,obscene,threat,insult,identity_hate
612c0c93a5ca94db,0,0,0,0,0,0
d5567adaddbc78cb,0,0,0,0,0,0
85b845308824202b,0,0,0,0,0,0
18ec4ee5fe3c797b,0,0,0,0,0,0
97a651fe0bfb7d49,0,0,0,0,0,0
48ad65c548d6941c,0,0,0,0,0,0
6363aa197bb2e5de,1,0,0,0,0,0
c76b950dc55f58b7,1,0,0,0,0,0
40434968e59e4ecc,0,0,0,0,0,0
b12e69c34d679a8e,0,0,0,0,0,0
e53acf473e7aec4c,0,0,0,0,0,0
1e466b6336c26c29,0,0,0,0,0,0
2df90b259fc875c4,0,0,0,0,0,0
e78e76b19b847d9e,0,0,0,0,0,0
f3eecf69261281a8,0,0,0,0,0,0
a5cdd02cd933fa61,0,0,0,0,0,0
9309cefc04b8a149,0,0,0,0,0,0
52903240a869e5b8,0,0,0,0,0,0
5660054321cb5b17,0,0,0,0,0,0
c363490ac9bd32df,0,0,0,0,0,0
d8a4a9da66a40bee,0,0,0,0,0,0
4f97aa26f10a1a41,0,0,0,0,0,0
bfdb165920246e09,0,0,0,0,0,0
4f7920f7878a9b28,0,0,0,0,0,0
689cadf68a566fd9,0,0,0,0,0,0
d5a47e89d37c9aeb,0,0,0,0,0,0
9edbaf09af13dd2b,0,0,0,0,0,0
7d789f825e0468c5,0,0,0,0,0,0
2371629e6cfe67b6,0,0,0,0,0,0
ffa195d618e0ee3a,0,0,0,0,0,0
f1fa9a279bcb4451,0,0,0,0,0,0
72fd9aa2c376bb95,0,0,0,0,0,0
08f5f110b6acc437,0,0,0,0,0,0
63e775577bf672a2,0,0,0,0,0,0
d05a6d1199639573,0,0,0,0,0,0
f828f71cff9e43fb,0,0,0,0,0,0
a50146e89755f377,0,0,0,0,0,0
b1c05fd0fe27152f,0,0,0,0,0,0
42f56a67b6caf135,0,0,0,0,0,0
6bc614184008e4a8,0,0,0,0,0,0
d82986e14d415d9d,0,0,0,0,0,0
7df927fb1d064ba9,0,0,0,0,0,0
afd98bfaa4a2f235,0,0,0,0,0,0
6eef6afa20571fbb,0,0,0,0,0,0
37bbfb9687af7124,0,0,0,0,0,0
3cef59dece473f6a,0,0,0,0,0,0
b71e4ee13c5e21c5,0,0,0,0,0,0
6aa39f5b4d764240,0,0,0,0,0,0
e0f61bcc7a1096f8,0,0,0,0,0,0
ef06fc9eed5895a1,0,0,0,0,0,0
4ebb0ac23020ce07,0,0,0,0,0,0
197739fed6b986df,0,0,0,0,0,0
79bf66ce677d87da,0,0,0,0,0,0
7da4754b5a426f6a,0,0,0,0,0,0
4bc1487ac37a4005,0,0,0,0,0,0
931e327d78e17fb2,0,0,0,0,0,0
b2e229c2dbbd24c6,0,0,0,0,0,0
dfcfec5222a6430d,0,0,0,0,0,0
12b83f3fa79c2cef,0,0,0,0,0,0
707b766f3ffee548,0,0,0,0,0,0
c0b4d0ba6d1b72ff,0,0,0,0,0,0
a5c2277eaf00608d,0,0,0,0,0,0
042aeab0f50cb6f5,0,0,0,0,0,0
ab494ab71e28e278,0,0,0,0,0,0
eb7f1e22de21b367,0,0,0,0,0,0
c9ee22a22a521576,0,0,0,0,0,0
8d66c5eda70774d8,0,0,0,0,0,0
36860ec206264e18,0,0,0,0,0,0
06f5558f4783b5e1,1,0,0,0,0,0
297c645d9700361c,1,0,0,0,0,0
cc2199b5f5619db7,0,0,0,0,0,0
85580f68a4a48170,0,0,0,0,0,0
2ca8f5b8dfb13fff,0,0,0,0,0,0
212145245d7670ea,0,0,0,0,0,0
9503ae0293c3c86e,0,0,0,0,0,0
2a075f5f3bd9ffce,0,0,0,0,0,0
28180acd0dcd6d2f,1,0,0,0,0,0
05437d98fba6a0e9,1,0,0,0,0,0
0ef6b0eda9258891,0,0,0,0,0,0
107211b68bc37833,0,0,0,0,0,0
54b9b49aa248354a,0,0,0,0,0,0
3b7d2a2d2ff69546,0,0,0,0,0,0
21f570896931edaf,0,0,0,0,0,0
a5a9d1f6d37d7080,0,0,0,0,0,0
fd689972bcf00a68,0,0,0,0,0,0
cabbf543b2a065dd,0,0,0,0,0,0
4f1da96919a50898,0,0,0,0,0,0
4b4d825059850579,0,0,0,0,0,0
d10cb5b05c0012e4,0,0,0,0,0,0
65edb5c6fa89ad45,0,0,0,0,0,0
450ba10146def60b,0,0,0,0,0,0
5c6f65c596c9d3cc,0,0,0,0,0,0
3dfda31770d6ecb8,0,0,0,0,0,0
04efb4bed803d585,0,0,0,0,0,0
d0b9e2a1ecb466d7,0,0,0,0,0,0
0d9c529d195c652e,0,0,0,0,0,0
bfa4e2ca6076e1cb,0,0,0,0,0,0
e8ba3d6cbae3653e,0,0,0,0,0,0
c79320043b9b3ac6,0,0,0,0,0,0
120ac8c53c819802,0,0,0,0,0,0
661414c52ca9a347,1,0,0,0,0,0
cb818d0453a51f5e,1,0,0,0,0,0
9ed164918008196a,0,0,0,0,0,0
8591a45576a29f4b,0,0,0,0,0,0
09348f79b7aa4c8a,0,0,0,0,0,0
d1e6c84b501ff1a7,0,0,0,0,0,0
3fa62ca052836ac6,0,0,0,0,0,0
fac071eab0f3672a,0,0,0,0,0,0
528260181db84d6b,0,0,0,0,0,0
8a2b7ceb148aaad1,0,0,0,0,0,0
da3bf75d64df9f85,0,0,0,0,0,0
d0362761eb70e4bc,0,0,0,0,0,0
9b601a2df50a3295,0,0,0,0,0,0
bd8ca42ff4080c6b,0,0,0,0,0,0
2f1d9a77ac91045f,0,0,0,0,0,0
1a8365e2caf5a6ea,0,0,0,0,0,0
90683c5511aa624f,0,0,0,0,0,0
8292264c41be6c9f,0,0,0,0,0,0
75f75b2f384eea68,0,0,0,0,0,0
a0348159150f0301,0,0,0,0,0,0
3ce87f309a62efd7,0,0,0,0,0,0
5d6ac5a8200cea41,0,0,0,0,0,0
f0652ea0a9552ce8,0,0,0,0,0,0
3f7e238d993c4dd9,0,0,0,0,0,0
9d0e3b21127b1a6c,0,0,0,0,0,0
14bd6ac15a88f689,0,0,0,0,0,0
61d4a858ddf7447a,0,0,0,0,0,0
d3b4397cd7bac1ba,0,0,0,0,0,0
0c038783531955c2,0,0,0,0,0,0
dc0c80f971ab3071,0,0,0,0,0,0
d19269fdd1ce46e6,0,0,0,0,0,0
ec5924d82b0241ac,0,0,0,0,0,0
94a9f3a63e1f6428,0,0,0,0,0,0
756a5488a1b8f4b5,0,0,0,0,0,0
1f9008744bad351f,0,0,0,0,0,0
74928072167bac47,0,0,0,0,0,0
3e779d98a82fe6c3,0,0,0,0,0,0
9a470fb1cd16066e,0,0,0,0,0,0
a56a92c0d164749e,0,0,0,0,0,0
b45991acbfd75294,0,0,0,0,0,0
